"year","month","monthly_volatility"
"2012","1","0.010394469683442249"
"2012","2","0.00567310367110966"
"2012","3","0.009224723273926405"
"2012","4","0.006445171364527762"
"2012","5","0.005219815723804451"
"2012","6","0.008299836487201765"
"2012","7","0.006816157275180789"
"2012","8","0.004837074086086104"
"2012","9","0.006477757490464054"
"2012","10","0.007497317063983272"
"2012","11","0.004411741515939391"
"2012","12","0.006289283561686358"
"2013","1","0.008352863780364992"
"2013","2","0.008713486219950266"
"2013","3","0.005128927250102316"
"2013","4","0.009897640411445837"
"2013","5","0.011804073146890562"
"2013","6","0.014659931068984207"
"2013","7","0.006979991166172196"
"2013","8","0.005087456194043914"
"2013","9","0.0042774547394004115"
"2013","10","0.0048324802634957574"
"2013","11","0.0056326640909879185"
"2013","12","0.008574282231736584"
"2014","1","0.006871861188242687"
"2014","2","0.011189726255999765"
"2014","3","0.007978823161821488"
"2014","4","0.004613010776169143"
"2014","5","0.00746688126258036"
"2014","6","0.005605307858670761"
"2014","7","0.0036685990578992204"
"2014","8","0.0061026965156318206"
"2014","9","0.004699002841627967"
"2014","10","0.007318058054170554"
"2014","11","0.01816562036259414"
"2014","12","0.02335915543972305"
"2015","1","0.017509662745857902"
"2015","2","0.014717847203847086"
"2015","3","0.012040720951793586"
"2015","4","0.022744068052548284"
"2015","5","0.004153966609939376"
"2015","6","0.005450090352323056"
"2015","7","0.005598179976351157"
"2015","8","0.015200399430842036"
"2015","9","0.012227676760013264"
"2015","10","0.006951077340274397"
"2015","11","0.004595789998932252"
"2015","12","0.013470204937291475"
"2016","1","0.020818940642445865"
"2016","2","0.010574929922091345"
"2016","3","0.009667190461999361"
"2016","4","0.0072124528553382024"
"2016","5","0.016899672995902053"
"2016","6","0.01796593698572083"
"2016","7","0.006554766763223648"
"2016","8","0.00596400600175191"
"2016","9","0.009417077152984527"
"2016","10","0.005428676294990287"
"2016","11","0.004641493639278546"
"2016","12","0.005893146976493095"
"2017","1","0.005083699440368205"
"2017","2","0.0045420143919677435"
"2017","3","0.008270751838157125"
"2017","4","0.007974503897942532"
"2017","5","0.011761671002111255"
"2017","6","0.017571791838655856"
"2017","7","0.013114290642181873"
"2017","8","0.012013316063679079"
"2017","9","0.00816987763585204"
"2017","10","0.005990707089198356"
"2017","11","0.005843242665548373"
"2017","12","0.010417851697299599"
"2018","1","0.012936857142570321"
"2018","2","0.010488886348993648"
"2018","3","0.008111881350686722"
"2018","4","0.005992756592666464"
"2018","5","0.010513293172614055"
"2018","6","0.012788417639840911"
"2018","7","0.005371217585890405"
"2018","8","0.007954534495972661"
"2018","9","0.010994668564450012"
"2018","10","0.008760280293604242"
"2018","11","0.006554761991247643"
"2018","12","0.011836567386087071"
"2019","1","0.010488975866051686"
"2019","2","0.009426975571255748"
"2019","3","0.005073915553851783"
"2019","4","0.00823351782590368"
"2019","5","0.015355507775636044"
"2019","6","0.004601765965365905"
"2019","7","0.005651244222719643"
"2019","8","0.005475601384899725"
"2019","9","0.006565247610751341"
"2019","10","0.0035126364341637635"
"2019","11","0.0056154181547442734"
"2019","12","0.006404406377848893"
"2020","1","0.01165727853562498"
"2020","2","0.006295819414918377"
"2020","3","0.017432611127881296"
"2020","4","0.01225240685270492"
"2020","5","0.01033492081417628"
"2020","6","0.005787910224070926"
"2020","7","0.006394711356529967"
"2020","8","0.003103692117769538"
"2020","9","0.003942168520077832"
"2020","10","0.01462324303436503"
"2020","11","0.017729419994273174"
"2020","12","0.010207786477092121"
"2021","1","0.008587192115066056"
"2021","2","0.0059155014913984125"
"2021","3","0.006840353410651287"
"2021","4","0.0034862851590950384"
"2021","5","0.005342675641149848"
"2021","6","0.007023850524496958"
"2021","7","0.00573800809010455"
"2021","8","0.004695175750137083"
"2021","9","0.005580795766311592"
"2021","10","0.004420307999112454"
"2021","11","0.007237948634309339"
"2021","12","0.008854127366859562"
"2022","1","0.007079518270854904"
"2022","2","0.0034756105105510074"
"2022","3","0.00169691652467044"
"2022","4","0.005147389050294112"
"2022","5","0.009944735449366903"
"2022","6","0.006685125635461518"
"2022","7","0.007856163074021188"
"2022","8","0.008939758863501266"
"2022","9","0.002420099815479336"
"2022","10","0.011601862625211049"
"2022","11","0.009439871229586177"
"2022","12","0.004924642653346321"
"2023","1","0.005837391785476016"
"2023","2","0.004962838215970246"
"2023","3","0.006496289606854552"
"2023","4","0.008795773132590449"
"2023","5","0.011864119576830525"
"2023","6","0.01234899195639795"
"2023","7","0.013728996078859275"
"2023","8","0.006766404455027195"
"2023","9","0.007348360003214465"
"2023","10","0.005621023462137903"
"2023","11","0.00487165136406404"
"2023","12","0.005403513517456335"
